"id","main_group","groupa","username","title","type","is_end","updatedt","isban","islock","published","isbad","pack_draft","pack_selling","status","fav","chapter","visitors_all","visitors"
"1615217","1","26","hanbinjinhwan","BJIN.i'm sorry ft.jundong bobyun","2","0","6/4/2017"," 1:52:04","0","1","N","0","0","0","0","20","5","175","1"
"1632661","1","22","kam_abpp","Candy love ฉันเกิดใหม่ซะแล้วละ","2","0","21/5/2017"," 14:52:38","0","1","N","0","0","0","0","161","6","1001","4"
"1631232","1","26","twinMsaranghae","SF MarkBam ไม่ได้หึง. .จริงๆนะ (end)","1","0","27/4/2017"," 17:22:03","0","1","N","0","0","0","0","34","0","552","15"
"1631234","1","0","sodsnedd","[ BTS X YOU ] JIMIN I love you "," just a way you are","2","0","4/6/2017"," 0:20:20","0","1","N","0","0","0","0","87","12","591","16"
"1624885","1","7","ueatmypen","Are You Murder"," Sir?","2","0","17/4/2017"," 16:10:57","0","1","N","0","0","0","0","0","2","6","0"
"1621814","1","22","N_Pokky","The Otome game สโนว์และคนแคระทั้งเจ็ด [รีไรท์ทั้งเรื่อง]","2","0","10/5/2017"," 23:01:56","0","1","N","0","0","0","0","445","9","3536","10"
"1621813","1","1","opornake","นายจะรักพี่ไม่ได้นะ!!!","2","0","12/4/2017"," 11:43:53","0","1","N","0","0","0","0","0","2","9","0"
"1619230","1","21","bunniexcnq","NCT :: 3Sab The Gang [ Johnyong "," Jaeten "," Markno ]","2","0","26/4/2017"," 4:25:57","0","1","N","0","0","0","0","141","8","1052","6"
"1620554","1","26","pndd98","How To Be มาเฟีย  ||  Markson + Bson","2","0","1/6/2017"," 9:32:34","0","1","N","0","0","0","0","241","14","5248","211"
"1619721","1","0","Tonoa_JB","The  beginning(JB x you)","2","0","12/4/2017"," 19:13:24","0","1","N","0","0","0","0","12","2","48","0"
"1633046","1","1","615928912","ดวงคุณในเดือนนี้...คือกำรังจะมีความรัก!","2","0","29/4/2017"," 21:05:01","0","1","N","0","0","0","0","1","0","2","0"
"1621916","1","3","little_chocho","เทพบุตรร้ายล่าหัวใจ","2","0","5/6/2017"," 5:30:29","0","1","N","1","0","0","0","4131","19","162330","33801"
"1621917","1","1","AiSuRa11k","Opposite <รักตรงข้าม>","2","0","12/4/2017"," 15:13:13","0","1","N","0","0","0","0","0","0","1","0"
"1619234","1","4","LostMY","YOU ARE ... l คุณคือ...","2","0","29/4/2017"," 11:52:44","0","1","N","0","0","0","0","1","4","190","1"
"1619233","1","28","Baby_Yuan","(TFBoys) Engineering {KaiYuan}","2","0","27/4/2017"," 20:33:22","0","1","N","0","0","0","0","51","2","679","16"
"1623083","1","21","PinkJewel",""นายสุดหล่อมาดเท่ห์ กะ ยัยอินดี้จอมแสบ"
[INDY LOVE]"","2","0","17/4/2017"," 11:07:11","0","1","N","0","0","0","0","1","2","16","0"
"1625105","1","16","24998","กระท่อมดาวตก","2","0","4/6/2017"," 17:44:56","0","1","N","0","0","0","0","6","8","165","29"
"1624542","1","30","25141511","[[TORIKO]]ผมเป็นเด็กน้อยที่(สิงร่างคนไม่)ธรรมดาครับ!!  [[YAOI]]","2","0","23/4/2017"," 21:33:57","0","1","N","0","0","0","0","46","4","548","4"
"1628039","1","21","jcxtt","MY BOY ขอโทษที แฟนหนูเป็นตุ๊ด!","2","0","21/4/2017"," 22:29:47","0","1","N","0","0","0","0","6","0","11","1"
"1628040","1","21","kluaynaam","พิชิใจยัยลูกเป็ด","2","0","21/4/2017"," 22:30:54","0","1","N","0","0","0","0","0","0","2","0"
"1628041","1","16","nanaesk","ANGEL-00","2","0","26/4/2017"," 18:37:22","0","1","N","0","0","0","0","3","3","23","0"
"1619105","1","1","branzandbransel","ผมอยู่บน พี่อยู่ล่าง &#9658; Love On Top [Yaoi]","2","0","8/5/2017"," 18:42:35","0","1","N","0","0","0","0","719","6","7180","26"
"1617977","1","13","khempimchanpk","Mr.sad.      Welcome to failure world","2","0","6/4/2017"," 12:11:11","0","1","N","0","0","0","0","0","0","1","0"
"1618048","1","2","monkeyaeem","ขายนิยายแจ่มใสมือ 2 ราคาถูกมาก คุณภาพดี พระเอกหล่อ","2","0","3/6/2017"," 16:40:48","0","1","N","0","0","0","0","3","8","187","11"
"1621008","1","0","armybtsarmy9495","The Special Love&#185; [ รับสมัคร ]","2","0","11/4/2017"," 4:57:24","0","0","N","0","0","0","0","4","1","84","0"
"1619171","1","26","aumsolitary","Twins to U: แฝดสายรหัส #MarkBam","2","0","1/5/2017"," 20:04:40","0","1","N","0","0","0","0","7","3","91","4"
"1630084","1","1","Tan_345","What is กูเป็นคนธรรมดาครับท่าน","2","0","15/5/2017"," 22:19:47","0","1","N","0","0","0","0","17","7","198","2"
"1615617","1","2","Mail555","รักกวนตีน","2","0","3/4/2017"," 17:51:45","0","1","N","0","0","0","0","1","4","21","0"
"1628001","3","6","hoster","ฮีโร่ผู้แตกต่าง","2","0","1/5/2017"," 16:17:47","0","1","N","0","0","0","0","2","7","39","1"
"1625669","1","26","CZYiiN23","[NCT] โครงการรับฝากลูกเจี๊ยบไว้กับแมวแก่ : YUWIN","2","0","24/4/2017"," 23:42:46","0","1","N","0","0","0","0","55","2","364","1"
"1615307","1","3","NANAMIBENJA","ช่วงเวลาชีวิตฉันและนายเย็นชา","2","0","18/4/2017"," 23:32:32","0","1","N","0","0","0","0","2","3","137","1"
"1625661","1","1","BTANBTS","W A I T รอคอย  -YAOI-","2","0","18/4/2017"," 14:27:55","0","1","N","0","0","0","0","5","0","5","0"
"1625664","1","26","bknychs","( GOT7 ) 1994's Time | BNIOR","2","0","18/4/2017"," 14:33:41","0","1","N","0","0","0","0","54","0","74","1"
"1628704","1","26","Doubleb_baby84","Two2Thing (CHANBAEK Ft. HUNHAN"," KAIDO)","2","0","11/5/2017"," 22:40:15","0","1","N","0","0","0","0","24","5","193","1"
"1625663","1","0","K_URAMA","รวม fic เทพยุทธ์เซียน Glory","2","0","5/6/2017"," 0:10:32","0","1","N","0","0","0","0","148","57","8611","790"
"1615728","1","0","PcyGalaxyPrem","| BTS X YOU | BTS Girl Member&#10083;","2","0","4/4/2017"," 8:55:06","0","1","N","0","0","0","0","35","2","187","2"
"1625675","1","0","alen_r","คลังรวมออริสำหรับใช้ Roleplay ในเด็กดีโดยเฉพาะ","2","0","18/4/2017"," 14:38:23","0","1","N","0","0","0","0","0","2","16","0"
"1616245","1","14","sheepzguard","Lost Boys ภาค เส้นทางสู่เนเวอร์แลนด์","2","0","3/4/2017"," 19:43:35","0","1","N","0","0","0","0","0","0","3","0"
"1628962","1","26","Gsqupz","chanser - chanbaek","2","0","23/4/2017"," 16:05:29","0","1","N","0","0","0","0","2","0","3","0"
"1632779","1","24","KnightN00","Path เส้นทางแห่งตัวตน","2","0","5/5/2017"," 22:20:29","0","1","N","0","0","0","0","1","2","7","0"
"1619054","1","26","yuyinw23","[NCT] KIND MAN"," MEAN MAN : NOREN","2","0","7/4/2017"," 21:25:24","0","1","N","0","0","0","0","19","0","130","1"
