"id","fav","chapter","visitors_all","visitors"
"39687","655","57","161886","89"
"76970","187","37","24680","3"
"72256","644","160","85630","35"
"61445","1577","70","274016","20"
"105953","172","37","6401","2"
"164552","228","80","30507","11"
"162435","0","24","2598","0"
"167098","867","92","95337","36"
"183124","360","44","72609","18"
"204560","84","25","12317","8"
"277709","154","89","30074","4"
"286678","528","36","84395","79"
"294239","56","33","11286","6"
"1486974","1124","39","51345","297"
"1434469","34","23","820","9"
"322895","13","44","1970","4"
"342816","21","30","3889","3"
"337284","108","11","18160","14"
"342503","346","33","74901","43"
"496263","548","43","10221","39"
"394461","28","25","3418","17"
"405731","536","56","172843","48"
"538052","54","36","13975","27"
"488592","1079","61","211220","56"
"435486","1097","25","115289","21"
"436890","645","28","113513","14"
"472529","139","20","13667","7"
"440592","132","49","29380","10"
"446617","265","25","21880","9"
"457814","595","55","97790","18"
"568076","691","26","33901","9"
"510392","458","54","26543","8"
"695677","398","54","27370","31"
"519969","19","27","4601","31"
"521217","1210","64","91371","163"
"521289","206","56","98875","9"
"521872","3752","129","239471","293"
"550531","1","15","959","0"
"833063","193","25","8588","1"
"578616","663","24","37655","6"
"544895","59","27","4044","8"
"547082","870","22","73381","8"
"555989","200","31","17171","1"
"564012","857","25","60265","21"
"566173","548","41","39320","44"
"637371","192","32","19185","12"
"572734","799","28","53609","11"
"580032","139","86","23170","32"
"583047","651","21","43500","19"
"588099","62","37","11232","8"
"588931","486","22","26732","9"
"589450","290","22","9857","10"
"590351","84","54","20470","10"
"594701","463","24","31430","8"
"596316","35","26","2972","2"
"599259","57","14","14242","18"
"597917","435","25","28284","7"
"597926","522","29","36391","8"
"598346","11","32","5918","5"
"627413","176","28","16247","8"
"612262","108","28","20395","31"
"740808","109","17","27055","16"
"620619","202","23","153284","65"
"1626248","31","25","784","31"
"627873","25","26","3454","9"
"629656","36","26","5334","13"
"638652","95","20","69583","34"
"634448","157","18","14078","43"
"637715","211","29","25395","3"
